round,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15
1,22,21,2,8,3,9,2,3,14,2,3,4,2,3,9,4,6,1,8,8,9,18,1
2,22,11,6,5,7,1,4,1,7,4,4,1,1,9,17,7,13,1,2,15,12,9,3
3,14,9,14,7,4,2,6,2,1,3,1,1,1,4,17,6,2,5,2,17,8,4,7
4,9,6,13,5,5,3,6,8,4,4,2,1,1,8,10,2,3,8,2,11,3,1,7
5,5,3,12,6,8,5,8,3,5,1,1,1,1,7,8,1,1,7,2,15,5,1,4
6,5,2,15,5,7,4,5,6,2,2,1,1,1,7,7,1,4,5,2,12,7,1,4
7,7,2,14,4,3,2,9,5,3,1,1,1,1,7,4,1,3,4,4,15,5,1,8
8,9,2,14,6,2,1,3,2,3,2,1,1,1,8,4,1,3,4,2,10,9,1,7
9,13,2,12,3,2,1,5,3,2,1,1,1,1,7,5,1,4,3,2,7,4,1,5
10,9,2,11,3,1,1,3,5,2,3,2,1,1,7,5,1,3,3,2,7,6,1,4
11,7,3,9,4,1,1,3,3,2,5,2,1,1,3,3,1,4,2,3,7,7,1,6
12,5,3,10,3,1,2,2,2,2,5,2,1,2,4,4,1,3,3,3,6,6,1,8
13,4,3,10,3,3,2,3,3,2,3,2,2,2,2,6,1,4,4,2,6,6,1,6
14,3,6,10,3,2,2,3,4,2,2,1,2,2,5,6,1,5,3,3,5,7,1,6
15,1,6,11,3,1,3,4,3,2,2,1,1,2,6,3,1,4,3,2,4,10,1,6
16,2,7,12,3,1,5,4,3,2,2,1,2,2,8,6,1,4,3,1,5,6,1,6
17,3,3,12,3,1,4,6,2,2,3,1,2,3,7,3,1,5,3,2,5,5,2,0
18,6,4,11,5,2,5,6,4,2,2,1,2,2,6,4,1,5,3,2,5,3,1,0
19,8,5,11,7,2,6,5,4,2,2,1,2,2,6,4,2,5,3,3,4,5,1,0
20,6,4,11,5,3,6,3,3,2,1,1,1,2,5,3,1,4,3,3,5,5,1,0
21,8,5,9,5,2,5,3,3,2,4,1,1,2,5,5,1,5,3,3,5,6,1,0
22,9,4,13,6,2,5,4,3,2,4,1,1,2,5,4,2,5,1,3,5,6,1,0
23,9,4,13,5,3,5,4,3,2,2,1,1,2,6,4,2,5,3,2,7,6,1,0
24,7,3,13,6,2,5,3,3,3,2,1,1,2,5,4,1,5,3,2,5,6,1,0
25,11,3,11,8,3,2,3,4,3,3,1,1,4,5,4,1,5,3,2,4,6,2,0
26,12,3,10,7,3,2,3,3,2,4,1,1,4,5,4,1,5,3,2,4,5,2,0
27,11,3,11,6,3,2,3,4,2,2,1,1,4,6,4,1,5,3,2,4,5,2,0
28,11,3,12,7,4,2,2,5,2,2,1,1,4,5,3,1,5,3,2,4,5,3,0
29,12,3,10,5,3,2,2,4,2,1,1,1,4,5,3,1,4,3,2,3,5,3,0
30,11,3,8,5,2,2,2,4,2,2,1,1,4,5,4,2,4,2,2,3,5,4,0
31,12,3,9,5,3,2,2,4,2,3,1,1,2,5,4,3,4,1,2,3,4,4,0
32,9,4,9,5,3,2,2,3,2,1,1,1,2,6,4,2,4,3,2,3,3,4,0
33,9,3,13,5,2,1,2,3,2,1,2,1,2,5,4,3,4,3,3,3,3,4,0
34,11,3,14,5,2,1,1,2,2,1,2,1,2,5,3,3,4,3,3,3,3,4,0
35,10,4,10,5,2,1,1,2,2,1,2,1,2,5,4,3,4,3,3,3,4,4,0
36,11,4,12,5,2,1,1,2,2,1,2,1,2,5,4,3,4,3,3,3,3,4,0
37,12,4,12,5,3,1,2,2,2,1,2,1,2,5,4,3,4,3,3,3,4,4,0
38,12,4,10,5,3,1,2,2,2,1,2,1,2,4,4,3,4,3,4,3,4,4,0
39,12,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,12,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,9,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,10,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
