valtyp,lÌ_nsnr,lÌ_n,kommunnr,kommun,valkretsnr,valkrets,parti,tilltrÌ_desdatum,invalsordning,personvald,fÌ¦rnamn,efternamn,Ì´lder,kÌ¦n,lista,listplats,kandidatnr
R,,,,,1,Stockholms kommun,M,,1,personvald,Fredrik,Reinfeldt,49,M,Jan-00,1,468623
R,,,,,1,Stockholms kommun,M,,2,,Beatrice,Ask,58,K,Jan-00,2,468624
R,,,,,1,Stockholms kommun,M,,3,,Maria,Abrahamsson,51,K,Jan-00,3,468824
R,,,,,1,Stockholms kommun,M,,4,,Sofia,Arkelsten,37,K,Jan-00,4,468825
R,,,,,1,Stockholms kommun,M,,5,,Jessica,Rosencrantz,26,K,Jan-00,5,468826
R,,,,,1,Stockholms kommun,M,,6,,Amir,Adan,29,M,Jan-00,6,468827
R,,,,,1,Stockholms kommun,M,,7,,Tina,Ghasemi,29,K,Jan-00,7,468828
R,,,,,1,Stockholms kommun,M,,8,,Margareta,Cederfelt,54,K,Jan-00,8,468829
R,,,,,1,Stockholms kommun,M,,9,,Johan,Forssell,34,M,Jan-00,9,468830
R,,,,,1,Stockholms kommun,C,,1,,Johanna,JÌ¦nsson,31,K,Apr-07,3,499823
R,,,,,1,Stockholms kommun,C,,2,,Johan,Hedin,45,M,Apr-07,2,439305
R,,,,,1,Stockholms kommun,FP,,1,personvald,Birgitta,Ohlsson,39,K,Mar-99,2,443601
R,,,,,1,Stockholms kommun,FP,,2,,Erik,Ullenhag,42,M,Mar-99,4,443606
R,,,,,1,Stockholms kommun,FP,,3,,Fredrik,Malm,37,M,Mar-99,6,443640
R,,,,,1,Stockholms kommun,KD,,1,,Caroline,Szyber,32,K,0068-07955,3,477679
R,,,,,1,Stockholms kommun,KD,,2,,DÌ©sirÌ©e,Pethrus,55,K,0068-07955,6,477682
R,,,,,1,Stockholms kommun,S,,1,personvald,Stefan,LÌ¦fven,57,M,Feb-99,1,188285
R,,,,,1,Stockholms kommun,S,,2,,Carin,JÌ_mtin,50,K,Feb-99,2,188286
R,,,,,1,Stockholms kommun,S,,3,,Anders,Ygeman,44,M,Feb-99,3,188287
R,,,,,1,Stockholms kommun,S,,4,,Veronica,Palm,41,K,Feb-99,4,188288
R,,,,,1,Stockholms kommun,S,,5,,Arhe,Hamednaca,61,M,Feb-99,5,188289
R,,,,,1,Stockholms kommun,S,,6,,Ylva,Johansson,50,K,Feb-99,6,188290
R,,,,,1,Stockholms kommun,S,,7,,Emanuel,ÌĞz,34,M,Feb-99,7,188291
R,,,,,1,Stockholms kommun,V,,1,,Jens,Holm,43,M,May-02,4,475784
R,,,,,1,Stockholms kommun,V,,2,,Karin,RÌ´gsjÌ¦,59,K,May-02,2,475782
R,,,,,1,Stockholms kommun,V,,3,,Amineh,Kakabaveh,43,K,May-02,3,475783
R,,,,,1,Stockholms kommun,MP,,1,personvald,ÌÉsa,Romson,42,K,0055-05520,1,446435
R,,,,,1,Stockholms kommun,MP,,2,,Per,Bolund,43,M,0055-05520,2,446436
R,,,,,1,Stockholms kommun,MP,,3,,Maria,Ferm,29,K,0055-05520,3,446437
R,,,,,1,Stockholms kommun,MP,,4,,Per,Olsson,33,M,0055-05520,4,446438
R,,,,,1,Stockholms kommun,SD,,1,,Angelika,Bengtsson,24,K,0110-08273,30,479481
R,,,,,1,Stockholms kommun,SD,,2,,Adam,Marttinen,30,M,0110-08273,35,479486
R,,,,,2,Stockholms lÌ_n,M,,1,,Sofia,FÌ¦lster,22,K,Jan-10,14,471346
R,,,,,2,Stockholms lÌ_n,M,,2,,Catharina,ElmsÌ_ter-SvÌ_rd,48,K,Jan-10,2,468625
R,,,,,2,Stockholms lÌ_n,M,,3,,Anna,Kinberg Batra,44,K,Jan-10,3,471395
R,,,,,2,Stockholms lÌ_n,M,,4,,Niklas,Wykman,33,M,Jan-10,4,484634
R,,,,,2,Stockholms lÌ_n,M,,5,,Karin,EnstrÌ¦m,48,K,Jan-10,5,515952
R,,,,,2,Stockholms lÌ_n,M,10/16/14,6,,Fredrik,Schulte,32,M,Jan-10,15,515870
R,,,,,2,Stockholms lÌ_n,M,,7,,Anti,Avsan,56,M,Jan-10,7,469990
R,,,,,2,Stockholms lÌ_n,M,,8,,Hillevi,EngstrÌ¦m,51,K,Jan-10,8,472580
