Date,YHOO,AAPL,AMZN
1/2/14,39.59,77.39,397.97
1/3/14,40.12,75.69,396.44
1/6/14,39.93,76.1,393.63
1/7/14,40.92,75.56,398.03
1/8/14,41.02,76.04,401.92
1/9/14,40.92,75.07,401.01
1/10/14,41.23,74.57,397.66
1/13/14,39.99,74.96,390.98
1/14/14,41.14,76.45,397.54
1/15/14,41.07,77.98,395.87
1/16/14,40.34,77.55,395.8
1/17/14,40.01,75.65,399.61
1/21/14,39.52,76.82,407.05
1/22/14,40.18,77.16,404.54
1/23/14,39.39,77.82,399.87
1/24/14,37.91,76.4,387.6
1/27/14,36.65,77.02,386.28
1/28/14,38.22,70.87,394.43
1/29/14,34.89,70.06,384.2
1/30/14,35.31,69.93,403.01
1/31/14,36.01,70.04,358.69
2/3/14,34.9,70.17,346.15
2/4/14,35.66,71.19,347.95
2/5/14,35.49,71.72,346.45
2/6/14,36.24,72.14,354.59
2/7/14,37.23,73.15,361.08
2/10/14,37.76,74.46,360.87
2/11/14,38.5,75.44,361.79
2/12/14,38.11,75.43,349.25
2/13/14,38.52,76.63,357.2
2/14/14,38.23,76.57,357.35
2/18/14,38.31,76.85,353.65
2/19/14,37.81,75.63,347.38
2/20/14,37.79,74.76,349.8
2/21/14,37.29,73.93,346.76
2/24/14,37.42,74.25,351.78
2/25/14,37.26,73.48,358.32
2/26/14,37.62,72.82,359.8
2/27/14,38.47,74.27,360.13
2/28/14,38.67,74.07,362.1
3/3/14,38.25,74.28,359.78
3/4/14,39.63,74.77,363.9
3/5/14,39.5,74.93,372.37
3/6/14,39.66,74.7,372.16
3/7/14,38.7,74.66,372.06
3/10/14,38.05,74.73,370.53
3/11/14,37.56,75.45,368.82
3/12/14,37.5,75.53,370.64
3/13/14,37.23,74.69,371.51
3/14/14,37.6,73.85,373.74
3/17/14,39.11,74.14,375.04
3/18/14,39.45,74.79,378.77
3/19/14,38.61,74.77,373.23
3/20/14,37.77,74.41,368.97
3/21/14,37.94,75,360.62
3/24/14,36.68,75.89,351.85
3/25/14,35.93,76.71,354.71
3/26/14,35.45,75.97,343.41
3/27/14,35.59,75.65,338.47
3/28/14,35.9,75.56,338.29
3/31/14,35.9,75.55,336.37
4/1/14,36.49,76.24,342.99
4/2/14,36.64,76.36,341.96
4/3/14,35.76,75.83,333.62
4/4/14,34.26,74.85,323
4/7/14,33.07,73.68,317.76
4/8/14,33.83,73.67,327.07
4/9/14,34.87,74.64,331.81
4/10/14,33.4,73.68,317.11
4/11/14,32.87,73.14,311.73
4/14/14,33.45,73.43,315.91
4/15/14,34.21,72.9,316.08
4/16/14,36.35,73.05,323.68
4/17/14,36.38,73.89,324.91
4/21/14,36.4,74.76,330.87
4/22/14,36.14,74.84,329.32
4/23/14,35.44,73.86,324.58
4/24/14,35.24,79.91,337.15
4/25/14,34.48,80.5,303.83
4/28/14,33.99,83.62,296.58
4/29/14,35.83,83.37,300.38
4/30/14,35.95,83.06,304.13
5/1/14,36.51,83.25,307.89
5/2/14,36.87,83.41,308.01
5/5/14,36.91,84.59,310.05
5/6/14,36.49,83.66,297.38
5/7/14,34.07,83.37,292.71
5/8/14,33.92,83.22,288.32
5/9/14,33.76,82.88,292.24
5/12/14,34.45,83.91,302.86
5/13/14,34.4,84.04,304.64
5/14/14,34.17,84.05,297.62
5/15/14,33.8,83.34,295.19
5/16/14,33.41,84.57,297.7
5/19/14,33.89,85.57,296.76
5/20/14,33.87,85.59,301.19
5/21/14,34.36,85.81,305.01
5/22/14,34.7,85.95,304.91
5/23/14,35.02,86.92,312.24
5/27/14,35.12,88.55,310.82
5/28/14,34.78,88.32,310.16
5/29/14,34.9,89.93,313.78
5/30/14,34.65,89.59,312.55
6/2/14,34.87,88.98,308.84
6/3/14,34.65,90.24,307.19
6/4/14,34.73,91.27,306.78
6/5/14,34.94,91.62,323.57
6/6/14,35.92,91.37,329.67
6/9/14,36.04,92.83,327.5
6/10/14,36.31,93.38,332.41
6/11/14,36.63,92.99,335.2
6/12/14,36.78,91.44,325.91
6/13/14,36.94,90.44,326.27
6/16/14,34.81,91.35,327.62
6/17/14,34.43,91.23,325.62
6/18/14,34.94,91.33,334.38
6/19/14,34.68,91.01,327
6/20/14,34.05,90.07,324.2
6/23/14,33.64,89.99,327.24
6/24/14,33.48,89.45,324.16
6/25/14,33.25,89.52,327.44
6/26/14,33.66,90.06,325.69
6/27/14,34.25,91.13,324.57
6/30/14,35.13,92.07,324.78
7/1/14,35.35,92.66,332.39
7/2/14,35.88,92.62,332.85
7/3/14,36.14,93.16,337.49
7/7/14,35.52,95.08,333.55
7/8/14,34.53,94.47,323.81
7/9/14,34.85,94.51,329.97
